Outcome,Model,DiD1,p_DiD1,DiD2,p_DiD2
LOG_CS,Firm FE only,0.016143980053205224,0.03875633132177633,-0.0022657981469536045,0.7004070196898967
LOG_CS,Firm FE + Month FE,0.015758506070603768,0.0431199824028392,-0.005365463835743247,0.3596911408680913
LOG_CS,Firm FE + Month FE + Vol,0.015251944107646716,0.05705997364765784,0.0059931907476612626,0.3030178574447605
LOG_AMIHUD,Firm FE only,-0.04575070942661955,3.683266994830455e-05,0.1749033944706752,9.371878819232059e-100
LOG_AMIHUD,Firm FE + Month FE,-0.04813089700503586,1.067949456890506e-05,0.193294093410724,2.2238512813282893e-129
LOG_AMIHUD,Firm FE + Month FE + Vol,-0.06220145893624622,3.400539010746221e-08,0.178211059680742,1.46401619291811e-111
LOG_ROLL,Firm FE only,-0.021575837346290653,0.012394909153568424,-0.015373772946296212,0.015101419010622875
LOG_ROLL,Firm FE + Month FE,-0.026447880042675453,0.0017122368830028614,-0.022954383418666856,0.00020075906104614062
