donut,coef,se,p,n
0,-0.1269039692901025,0.06385505833050233,0.046880816546645734,59387
5,-0.18571497415067348,0.07055371700130926,0.008482159023977299,56390
10,-0.20380438140120366,0.08110125355084954,0.01197221752540956,53019
15,-0.1728993168490549,0.0907456075154303,0.05673863620817416,50456
20,-0.23337253979997788,0.10827979576965584,0.03114046323433709,47493
25,-0.2877012944135828,0.11526006314287066,0.012556519851844724,44271
